"フィールド名/fieldName","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","表示回数0回のレコード取得指定可否/Supports Zero Impressions"
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","DOUBLE","[""HOUR_OF_DAY""]",true
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE","[""HOUR_OF_DAY"",""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]",true
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE","[""HOUR_OF_DAY""]",true
"ADGROUP_MOBILE_BID_MODIFIER","スマートフォン入札価格調整率（％）","Smartphone Bid Adjustment (%)","mobileBidAdj","DOUBLE",,true
"ADGROUP_DESKTOP_BID_MODIFIER","PC入札価格調整率（％）","PC Bid Adjustment (%)","desktopBidAdj","DOUBLE",,true
"ADGROUP_TABLET_BID_MODIFIER","タブレット入札価格調整率（％）","Tablet Bid Adjustment (%)","tabletBidAdj","DOUBLE",,true
"NETWORK","広告掲載方式の指定","Network","network","ENUM",,false
"CLICK_TYPE","クリック種別","ClickType","clickType","ENUM","[""IMPRESSION_SHARE"",""EXACT_MATCH_IMPRESSION_SHARE"",""QUALITY_LOST_IMPRESSION_SHARE""]",false
"DEVICE","デバイス","Device","device","ENUM",,false
"DAY","日","Day","day","STRING",,false
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM",,false
"QUARTER","四半期","Quarter","quarter","STRING",,false
"YEAR","年間","Year","year","STRING",,false
"MONTH","毎月","Month","month","STRING",,false
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM",,false
"WEEK","毎週","Week","week","STRING",,false
"HOUR_OF_DAY","時間","Hour of day","hourofday","LONG","[""ALL_CONV"",""ALL_CONV_RATE"",""ALL_CONV_VALUE"",""COST_PER_ALL_CONV"",""VALUE_PER_ALL_CONV""]",false
"OBJECT_OF_CONVERSION_TRACKING","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","ENUM","[""COST"",""IMPS"",""CLICKS"",""CLICK_RATE"",""AVG_CPC"",""AVG_DELIVER_RANK"",""IMPRESSION_SHARE"",""EXACT_MATCH_IMPRESSION_SHARE"",""QUALITY_LOST_IMPRESSION_SHARE"",""CONV_RATE"",""COST_PER_CONV"",""ALL_CONV_RATE"",""COST_PER_ALL_CONV""]",false
"CONVERSION_NAME","コンバージョン名","Conversion Name","conversionName","STRING","[""COST"",""IMPS"",""CLICKS"",""CLICK_RATE"",""AVG_CPC"",""AVG_DELIVER_RANK"",""IMPRESSION_SHARE"",""EXACT_MATCH_IMPRESSION_SHARE"",""QUALITY_LOST_IMPRESSION_SHARE"",""CONV_RATE"",""COST_PER_CONV"",""ALL_CONV_RATE"",""COST_PER_ALL_CONV""]",false
